,BatchID,Method,SampleID,Analyte,Procedure,AcquisitionDateTime,AnalysisDateTime,DetectorSN,LiveTime,Result,ResultUnits,ResultError,MDA,Aliquot,EfficiencyFactor,AliquotUnits,EfficiencyCalibrationDateTime,PrepDateTime,PrepsheetFilePath,ResultType,SDG,Matrix
0,25SLB0007,GAB,25SLB0007BLK,GrossAlpha,AB ERA Air Filter pCi,2024-10-02 13:55:00,2024-10-03,508,3600.0,3.38e-08,uCi/mL,1.18e-07,2.37e-07,1.0,0.29,mL,2024-01-26 13:43:00,2025-03-13 14:11:00,\\ServerName\Lab Data\Lab\Prepsheets\Prep-25SLB0007.json,BLK,25SL0001,Soil
1,25SLB0007,GAB,25SLB0007BLK,GrossBeta,AB ERA Air Filter pCi,2024-10-02 13:55:00,2024-10-03,508,3600.0,3.04e-06,uCi/mL,5.54e-07,4.04e-07,1.0,0.446,mL,2024-01-26 13:43:00,2025-03-13 14:11:00,\\ServerName\Lab Data\Lab\Prepsheets\Prep-25SLB0007.json,BLK,25SL0001,Soil
2,25SLB0007,GAB,25SLB0007LCSA,GrossAlpha,AB ERA Air Filter pCi,2024-10-02 14:55:00,2024-10-03,508,3600.0,0.000403,uCi/mL,3.15e-05,2.35e-07,1.0,0.29,mL,2024-01-26 13:43:00,2025-03-13 14:11:00,\\ServerName\Lab Data\Lab\Prepsheets\Prep-25SLB0007.json,LCSA,25SL0001,Soil
3,25SLB0007,GAB,25SLB0007LCSA,GrossBeta,AB ERA Air Filter pCi,2024-10-02 14:55:00,2024-10-03,508,3600.0,2.25e-06,uCi/mL,2.91e-06,4.78e-06,1.0,0.446,mL,2024-01-26 13:43:00,2025-03-13 14:11:00,\\ServerName\Lab Data\Lab\Prepsheets\Prep-25SLB0007.json,LCSA,25SL0001,Soil
4,25SLB0007,GAB,25SLB0007LCSB,GrossAlpha,AB ERA Air Filter pCi,2024-10-02 15:56:00,2024-10-03,508,3600.0,-4.75e-07,uCi/mL,4.33e-07,8.21e-07,1.0,0.29,mL,2024-01-26 13:43:00,2025-03-13 14:11:00,\\ServerName\Lab Data\Lab\Prepsheets\Prep-25SLB0007.json,LCSB,25SL0001,Soil
5,25SLB0007,GAB,25SLB0007LCSB,GrossBeta,AB ERA Air Filter pCi,2024-10-02 15:56:00,2024-10-03,508,3600.0,0.000277,uCi/mL,2.17e-05,4.03e-07,1.0,0.446,mL,2024-01-26 13:43:00,2025-03-13 14:11:00,\\ServerName\Lab Data\Lab\Prepsheets\Prep-25SLB0007.json,LCSB,25SL0001,Soil
6,25SLB0007,GAB,Sample 1,GrossAlpha,AB ERA Air Filter pCi,2024-10-03 03:58:00,2024-10-03,508,3600.0,1.34e-14,uCi/mL,6.99e-15,6.75e-15,35300000.0,0.29,mL,2024-01-26 13:43:00,2025-03-13 14:11:00,\\ServerName\Lab Data\Lab\Prepsheets\Prep-25SLB0007.json,REG,25SL0001,Soil
7,25SLB0007,GAB,Sample 1,GrossBeta,AB ERA Air Filter pCi,2024-10-03 03:58:00,2024-10-03,508,3600.0,9.77e-14,uCi/mL,1.68e-14,1.18e-14,35300000.0,0.446,mL,2024-01-26 13:43:00,2025-03-13 14:11:00,\\ServerName\Lab Data\Lab\Prepsheets\Prep-25SLB0007.json,REG,25SL0001,Soil
8,25SLB0007,GAB,Sample 2,GrossAlpha,AB ERA Air Filter pCi,2024-10-02 12:55:00,2024-10-03,508,3600.0,8.29e-15,uCi/mL,5.75e-15,6.74e-15,35300000.0,0.29,mL,2024-01-26 13:43:00,2025-03-13 14:11:00,\\ServerName\Lab Data\Lab\Prepsheets\Prep-25SLB0007.json,REG,25SL0001,Soil
9,25SLB0007,GAB,Sample 2,GrossBeta,AB ERA Air Filter pCi,2024-10-02 12:55:00,2024-10-03,508,3600.0,9.11e-14,uCi/mL,1.62e-14,1.17e-14,35300000.0,0.446,mL,2024-01-26 13:43:00,2025-03-13 14:11:00,\\ServerName\Lab Data\Lab\Prepsheets\Prep-25SLB0007.json,REG,25SL0001,Soil
10,25SLB0007,GAB,Sample 3,GrossAlpha,AB ERA Air Filter pCi,2024-10-02 16:56:00,2024-10-03,508,3600.0,9.82e-15,uCi/mL,6.18e-15,6.81e-15,35000000.0,0.29,mL,2024-01-26 13:43:00,2025-03-13 14:11:00,\\ServerName\Lab Data\Lab\Prepsheets\Prep-25SLB0007.json,REG,25SL0001,Soil
11,25SLB0007,GAB,Sample 3,GrossBeta,AB ERA Air Filter pCi,2024-10-02 16:56:00,2024-10-03,508,3600.0,9.8e-14,uCi/mL,1.69e-14,1.18e-14,35000000.0,0.446,mL,2024-01-26 13:43:00,2025-03-13 14:11:00,\\ServerName\Lab Data\Lab\Prepsheets\Prep-25SLB0007.json,REG,25SL0001,Soil
12,25SLB0007,GAB,Sample 4,GrossAlpha,AB ERA Air Filter pCi,2024-10-02 17:56:00,2024-10-03,508,3600.0,2.79e-15,uCi/mL,2.19e-15,2.76e-15,86300000.0,0.29,mL,2024-01-26 13:43:00,2025-03-13 14:11:00,\\ServerName\Lab Data\Lab\Prepsheets\Prep-25SLB0007.json,REG,25SL0001,Soil
13,25SLB0007,GAB,Sample 4,GrossBeta,AB ERA Air Filter pCi,2024-10-02 17:56:00,2024-10-03,508,3600.0,3.83e-14,uCi/mL,6.72e-15,4.75e-15,86300000.0,0.446,mL,2024-01-26 13:43:00,2025-03-13 14:11:00,\\ServerName\Lab Data\Lab\Prepsheets\Prep-25SLB0007.json,REG,25SL0001,Soil
14,25SLB0007,GAB,Sample 4DUP,GrossAlpha,AB ERA Air Filter pCi,2024-10-02 18:56:00,2024-10-03,508,3600.0,3.97e-15,uCi/mL,2.51e-15,2.78e-15,86200000.0,0.29,mL,2024-01-26 13:43:00,2025-03-13 14:11:00,\\ServerName\Lab Data\Lab\Prepsheets\Prep-25SLB0007.json,DUP,25SL0001,Soil
15,25SLB0007,GAB,Sample 4DUP,GrossBeta,AB ERA Air Filter pCi,2024-10-02 18:56:00,2024-10-03,508,3600.0,4.66e-14,uCi/mL,7.48e-15,4.8e-15,86200000.0,0.446,mL,2024-01-26 13:43:00,2025-03-13 14:11:00,\\ServerName\Lab Data\Lab\Prepsheets\Prep-25SLB0007.json,DUP,25SL0001,Soil
16,25SLB0007,GAB,Sample 5,GrossAlpha,AB ERA Air Filter pCi,2024-10-02 19:57:00,2024-10-03,508,3600.0,3.07e-15,uCi/mL,2.27e-15,2.76e-15,86500000.0,0.29,mL,2024-01-26 13:43:00,2025-03-13 14:11:00,\\ServerName\Lab Data\Lab\Prepsheets\Prep-25SLB0007.json,REG,25SL0001,Soil
17,25SLB0007,GAB,Sample 5,GrossBeta,AB ERA Air Filter pCi,2024-10-02 19:57:00,2024-10-03,508,3600.0,4.03e-14,uCi/mL,6.89e-15,4.75e-15,86500000.0,0.446,mL,2024-01-26 13:43:00,2025-03-13 14:11:00,\\ServerName\Lab Data\Lab\Prepsheets\Prep-25SLB0007.json,REG,25SL0001,Soil
