,energy,unc_en,intensity,unc_i,daughter_level_hl,daughter_level_energy,hindrance_factor,unc_hf,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
0,4460.94,,3.9e-06,9e-07,,874.6,27.0,8.0,92,140,U,,0,,0+,68.9,,4,Y,2174272199.649389,12622770.3898368,A,100,,5413.63,9,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2025-03-04
1,4502.8,,2.1e-05,2e-06,,831.4,10.6,1.1,92,140,U,,0,,0+,68.9,,4,Y,2174272199.649389,12622770.3898368,A,100,,5413.63,9,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2025-03-04
2,4810.04,,5.6e-05,3e-06,,519.1,680.0,40.0,92,140,U,,0,,0+,68.9,,4,Y,2174272199.649389,12622770.3898368,A,100,,5413.63,9,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2025-03-04
3,4931.04,,4.8e-05,4e-06,,395.96,5200.0,500.0,92,140,U,,0,,0+,68.9,,4,Y,2174272199.649389,12622770.3898368,A,100,,5413.63,9,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2025-03-04
4,4948.63,,5.1e-05,5e-06,,377.89,6400.0,600.0,92,140,U,,0,,0+,68.9,,4,Y,2174272199.649389,12622770.3898368,A,100,,5413.63,9,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2025-03-04
5,4997.94,,0.00616,8e-05,,327.91,111.0,2.0,92,140,U,,0,,0+,68.9,,4,Y,2174272199.649389,12622770.3898368,A,100,,5413.63,9,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2025-03-04
6,5139.0,2.0,0.3,0.02,1.64e-10,186.85,17.5,1.2,92,140,U,,0,,0+,68.9,,4,Y,2174272199.649389,12622770.3898368,A,100,,5413.63,9,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2025-03-04
7,5263.36,0.09,31.55,0.23,4.06e-10,57.78,0.992,0.012,92,140,U,,0,,0+,68.9,,4,Y,2174272199.649389,12622770.3898368,A,100,,5413.63,9,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2025-03-04
8,5320.12,0.14,68.15,0.23,,0.0,1.0,,92,140,U,,0,,0+,68.9,,4,Y,2174272199.649389,12622770.3898368,A,100,,5413.63,9,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2025-03-04
