S#,Date,Time,Sampl CT,Sample ID,TSIE,flags,EFF,CPMA,% ABN  Pu-241,Isotope,Backgound counts,Bkg CT,%R,Sample Volume,1 STD COUNTS,NCPMA,1 SD (NCP),Total Counts,BKG CPM, DPM/g   (NCPM/EFF* VOL*%R*%Abn),1Sigma Error DPM/g,2sigma DPM/g,MDA (DPM/g),DL,
1.00,2/6/2025,13:30,180.00,25SL0008BLK,355.00,,29.79,12.67,0.87,Pu-241,2059.00,180.00,1.00,0.25,47.76,1.23,0.27,2280.60,11.44,19.00,4.09,8.19,18.12,6.74,
2.00,2/6/2025,14:30,180.00,25SL0008LCS,325.00,,29.09,43.79,0.87,Pu-241,2059.00,180.00,1.00,1.00,88.78,32.35,0.49,7882.20,11.44,127.83,1.95,3.90,4.65,3.21,
3.00,2/7/2025,15:30,180.00,SOIL1DUP,320.00,,28.32,11.44,0.87,Pu-241,2059.00,180.00,0.82,0.28,45.38,0.00,0.25,2059.20,11.44,0.02,4.46,8.91,17.10,7.33,
4.00,2/7/2025,16:30,180.00,SOIL1,310.00,,28.13,16.72,0.87,Pu-241,2059.00,180.00,0.68,0.28,54.86,5.28,0.30,3009.60,11.44,114.37,6.60,13.20,17.21,10.86,
5.00,2/7/2025,17:30,180.00,SOIL2,305.00,,27.25,15.56,0.87,Pu-241,2059.00,180.00,0.67,0.28,52.92,4.12,0.29,2800.80,11.44,93.86,6.70,13.39,17.78,11.02,
